№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
38125813-ОЛ-ЗЦП1,282530.100.000002,"Фильтр воздушный, для приточно-вытяжной вентиляционной установки, карманный","15424406-1 Приобретение запасных частей Заказчик: РГП ""Больница МЦ УДП РК""",Запасные части История,22,30 698 159.94,Запрос ценовых предложений,Закупка состоялась
80198506-ОК1,329911.900.000014,Противогаз фильтрующий,"15600104-1 Приобретение фильтрующих гражданских противогазов Заказчик: ГУ ""Управление по мобилизационной подготовке области Ұлытау""",Противогаз История,589,50 215 784.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП9,329911.900.000014,Противогаз фильтрующий,"15421389-1 Закуп противогазов фильтрующих Заказчик: РГП ""Больница МЦ УДП РК""",Противогаз История,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
74919160-ОИ8,329911.900.000014,Противогаз фильтрующий,"15195521-1 Закуп противогазов фильтрующих Заказчик: РГП ""Больница МЦ УДП РК""",Противогаз История,1262,23 978 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79360314-ОК1,329911.900.000014,Противогаз фильтрующий,"14959205-2 Приобретение фильтрующих гражданских противогазов (согл.тех.спец) Заказчик: КГУ «Служба обеспечения мобилизационной готовности» государственного учреждения «Управление по мобилизационной подготовке, территориальной и гражданской обороне области Жетісу»",Противогаз История,500,36 767 500.00,Открытый конкурс,Закупка состоялась
74919160-ЗЦП1,329911.900.000014,Противогаз фильтрующий,"14708713-1 Приобретение гражданских противогазов Заказчик: РГП ""Больница МЦ УДП РК""",Противогаз История,1262,23 978 000.00,Запрос ценовых предложений,Закупка состоялась
73500519-ОК2,329911.900.000014,Противогаз фильтрующий,"14145205-1 Приобретение противогаза фильтрующего Заказчик: КГУ ""Служба обеспечения мобилизационной подготовки, территориальной и гражданской обороны"" государственного учреждения ""Управление по мобилизационной подготовке, территориальной и гражданской обороне Павлодарской области""",Противогаз История,2032,58 199 020.00,Открытый конкурс,Закупка состоялась
77643256-ОК5,265170.990.000048,Система автоматизированная информационно-измерительная для коммерческого и технического учета электроэнергии и устройства телемеханики,"14665266-1 Государственные закупки товара по поставке комплектов систем автоматизации для насосных станций Заказчик: ГКП на ПХВ ""Elorda Eco System""",Система автоматизированная информационно-измерительная История,5,18 500 000.00,Открытый конкурс,Закупка состоялась
73458964-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч","15127220-2 Погружной насосный агрегат (по лотам) Заказчик: Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Астаны",Насос История,1,79 981 593.75,Открытый конкурс,Закупка состоялась
73343629-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч","15085430-1 Погружной насосный агрегат Заказчик: Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Астаны",Насос История,1,40 259 756.25,Открытый конкурс,Закупка состоялась
79225699-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч","14987472-2 Погружной насосный агрегат в комплекте с щитом управления Заказчик: ГКП на ПХВ ""Косшы Су""",Насос История,1,23 408 300.00,Открытый конкурс,Закупка состоялась
73458934-ОК3,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч","14138845-1 Погружной насосный агрегат Заказчик: Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Астаны",Насос История,3,48 496 125.00,Открытый конкурс,Закупка состоялась
73458964-ОК2,281314.900.000076,"Насос для химически активных и агрессивных жидкостей, погружной вертикальный, подача до 500 м3/ч","14082229-1 Погружной насосный агрегат (по лотам) Заказчик: Государственное коммунальное предприятие на праве хозяйственного ведения ""Астана су арнасы"" акимата города Астаны",Насос История,1,79 981 593.75,Открытый конкурс,Закупка состоялась
77621468-ОИ2,281314.900.000071,"Насос для химически активных и агрессивных жидкостей, консольный одноступенчатый, подача до 500 м3/ч","14160841-1 н а с о с Заказчик: ТОО ""Шахтинсктеплоэнерго""",Насос История,1,18 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
77759370-ОК2,281413.350.000006,"Задвижка клиновая, стальная, условный проход 50-450 мм","14272013-1 Запорная арматура (задвижка клиновая стальная литая DN100, DN150, DN200) Заказчик: ТОО ""Алматинские тепловые сети""",Задвижка История,200,39 838 928.00,Открытый конкурс,Закупка состоялась
34153518-ОЛ-ЗЦП1,281413.350.000006,"Задвижка клиновая, стальная, условный проход 50-450 мм","13795274-1 Запорная арматура №2 Заказчик: ТОО ""Алматытеплокоммунэнерго""",Запорная арматура №2 История,34,29 823 875.76,Запрос ценовых предложений,Закупка состоялась
34153518-ОЛ-ЗЦП1,281413.900.000106,"Клапан обратный, стальной, размер 100-400 мм","13795274-1 Запорная арматура №2 Заказчик: ТОО ""Алматытеплокоммунэнерго""",Запорная арматура №2 История,34,29 823 875.76,Запрос ценовых предложений,Закупка состоялась
79108187-ОК2,281413.730.000016,"Кран шаровой стальной, условное давление 0-420 Мпа, диаметр 10-1400 мм, ручной","14998307-2 Приобретение задвижки с электроприводом для АО ""Астана-Энергия"" Заказчик: АО ""Астана-Энергия""",Кран шаровой стальной История,1,37 873 922.00,Открытый конкурс,Закупка состоялась
37009592-ОЛ-ЗЦП1,281413.730.000016,"Кран шаровой стальной, условное давление 0-420 Мпа, диаметр 10-1400 мм, ручной","14923517-1 Приобретение кранов шаровых Заказчик: Государственное коммунальное предприятие на праве хозяйственного ведения ""Кокшетау Жылу"" при акимате города Кокшетау",Приобретение кранов шаровых История,21,20 241 170.00,Запрос ценовых предложений,Закупка состоялась
78158917-ОК6,262013.000.000021,"Сервер специального назначения, для работы совместно с телекоммуникационным оборудованием","15218356-1 Государственная закупка для АО ""КРЭК"" Заказчик: АО ""КРЭК""",Сервер История,1,47 767 857.15,Открытый конкурс,Закупка состоялась
77474481-ОК3,262013.000.000021,"Сервер специального назначения, для работы совместно с телекоммуникационным оборудованием","14678357-1 Сервер для центра обработки данных (79) Заказчик: НАО ""Карагандинский национальный исследовательский университет имени академика Е.А.Букетова""",Сервер История,2,20 535 714.00,Открытый конкурс,Закупка состоялась
76441294-ОК1,262013.000.000021,"Сервер специального назначения, для работы совместно с телекоммуникационным оборудованием","13822001-1 Государственные закупки товара для ГУ «Министерство иностранных дел Республики Казахстан» способом конкурса Заказчик: Государственное учреждение ""Министерство иностранных дел Республики Казахстан""",Сервер История,1,202 709 821.40,Открытый конкурс,Закупка состоялась
72318215-КПКО1,262013.000.000021,"Сервер специального назначения, для работы совместно с телекоммуникационным оборудованием","13495261-1 Государственные закупки товара для РГУ «Министерство финансов Республики Казахстан» способом конкурса с предварительным квалификационным отбором Заказчик: Республиканское государственное учреждение ""Министерство финансов Республики Казахстан""",Сервер История,8,137 383 533.04,Конкурс с предварительным квалификационным отбором,Закупка состоялась
